p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,target_class
1.267260576177339261e-02,2.270006464527186442e-03,2.042600829341354590e-03,1.179684210182189216e-03,7.088367433690327939e-04,1.975469600757202328e-03,1.302193702961514186e-03,1.672496540132052895e-03,1.168636900329311128e-03,9.133317121646296506e-04,4.379234846188413688e-03,3.064212474928374157e-03,2.503767219998174684e-03,1.653433392680514567e-03,8.690362926262107032e-04,3.867932947337377955e-03,1.822804584701193196e-03,1.990048574243512454e-03,1.465402941341929083e-03,8.356840831728075663e-04,3.836692240200649355e-03,1.256554664666408288e-03,1.314147817387667852e-03,9.613856129129440698e-04,5.604322894345523109e-04,1.104439420805046002e-03,3.722562411051313653e-04,8.519983235499377881e-04,9.744378221970169396e-04,6.653943027289427499e-04,0.000000000000000000e+00
2.675696786864742178e-03,5.251122871807817555e-04,1.077828450373389917e-03,1.211764940789150299e-03,7.821580219149204278e-04,3.131114103997985950e-03,6.371119290548314315e-04,1.319005379262901297e-03,1.474281126459437569e-03,8.735335618793859140e-04,5.301232633426888538e-03,8.444811602940866056e-04,1.539488478513064123e-03,1.704225167472588499e-03,1.224478518894952812e-03,7.349258956953692509e-03,1.092800029940826619e-03,1.652387943391132093e-03,1.711564253980381919e-03,1.210941479025114164e-03,2.408235041123122158e-03,4.151177017585149084e-04,7.933564015556135744e-04,8.606411061970249037e-04,6.240722767789670796e-04,5.179902095053549350e-03,5.208846672843775970e-04,8.826787203693765849e-04,1.018094787963187090e-03,6.707144237947465721e-04,0.000000000000000000e+00
2.994379576545383188e-03,6.745945567208518588e-04,1.272086112434361914e-03,1.556941744802223422e-03,7.993849188509833531e-04,3.247842954715214354e-03,7.765409096740841493e-04,1.582857080987413404e-03,1.734088178754560798e-03,9.036236415357392368e-04,5.287970632312710348e-03,9.869892350777541030e-04,1.699778453288057793e-03,2.190540148555610456e-03,1.256578912834501512e-03,6.805505762811474464e-03,1.158269673070615050e-03,1.869932423834388090e-03,2.115965776790593687e-03,1.355916417216331991e-03,2.720868691806061206e-03,5.083307653383034542e-04,9.072323795483565063e-04,1.131388430979449709e-03,6.149108914578927266e-04,4.397737675218776378e-03,6.234793932157597831e-04,1.057407053851281732e-03,1.209293773813695369e-03,6.524262762278606846e-04,0.000000000000000000e+00
2.310264525221176254e-03,5.086686474972911248e-04,1.107685569375558383e-03,1.298992575076887267e-03,7.651126791278470328e-04,2.905894821272759880e-03,5.688058184331974340e-04,1.330414335293263889e-03,1.338506097935626346e-03,8.884815769638755405e-04,4.183882084413221084e-03,8.753668910819097917e-04,1.629388621932574294e-03,2.003477314450542029e-03,1.207870391643951422e-03,5.967719497951583414e-03,1.131122532432975994e-03,1.735739279765700221e-03,1.903905796865592616e-03,1.377078483239055438e-03,1.977131855114335271e-03,4.253429124666293216e-04,8.507714173457245517e-04,9.582773725238782816e-04,5.967785452492848069e-04,3.901439561342829460e-03,6.125554296882341912e-04,9.218994767778679496e-04,1.169215602442811924e-03,6.708642611844000282e-04,0.000000000000000000e+00
2.490166053391612566e-03,6.213844648651099464e-04,1.299836003450956928e-03,1.020782094870937521e-03,9.344064731472933021e-04,2.610268195026124380e-03,7.890755761047166424e-04,1.647096198142243735e-03,1.189382461848239670e-03,1.038691297070077095e-03,4.427186383039703743e-03,9.782475257177412724e-04,1.816912219277632464e-03,1.484050060791650139e-03,1.460035773342694071e-03,5.582476736917743251e-03,1.341461218050796341e-03,1.919918902648117334e-03,1.538343063931266056e-03,1.594140153272091383e-03,2.119324707660056543e-03,4.728144028867296237e-04,9.563153977496245857e-04,7.369959601606776911e-04,7.405103998283334155e-04,5.014701090305306516e-03,5.536888204545980206e-04,1.015855374689601364e-03,8.806841056100998344e-04,8.500201388595819783e-04,0.000000000000000000e+00
4.251714221981939962e-03,5.957314138456275320e-04,1.277759964941154163e-03,1.361540957690889325e-03,8.331966721982507528e-04,5.168736179172220627e-03,7.553807888153988995e-04,1.547088357048925864e-03,1.516778354168680804e-03,9.139165885087327090e-04,6.692464027897450374e-03,9.000738425042926084e-04,1.814469324275503996e-03,2.002038751181904261e-03,1.411782669521976369e-03,6.781118778995359579e-03,1.077357927169611410e-03,1.832734429551681910e-03,1.921405646877694801e-03,1.381436081224851273e-03,3.840510634704239791e-03,4.879750032072253680e-04,9.688841798783872934e-04,1.014794745863541788e-03,6.305844866159463283e-04,1.209822964645031022e-02,6.007231100456400822e-04,1.032801011601865160e-03,1.102109511820061581e-03,7.201883434688275678e-04,0.000000000000000000e+00
4.019259396363900755e-03,6.280559314889112626e-04,1.365004574736924893e-03,1.340373615321701316e-03,8.108892125811071987e-04,4.416667542912503137e-03,7.506739590655230575e-04,1.685496271459346407e-03,1.480478771755242094e-03,9.124855469627045010e-04,6.613612297061688232e-03,1.008813085711117571e-03,1.880800531501532202e-03,1.980090402837933472e-03,1.482499505361182558e-03,7.875347779150845828e-03,1.216770705513362406e-03,1.850780703066187086e-03,1.847032892765189437e-03,1.358103540546669969e-03,3.302502418472133810e-03,5.218678045234596483e-04,1.052480434907608359e-03,9.972140548204187771e-04,6.727950920139376054e-04,6.214475172934456372e-03,5.925291086782612194e-04,1.009022658168615139e-03,1.129274277219786179e-03,7.012797305834201148e-04,0.000000000000000000e+00
4.998633743112744672e-03,5.929971593599892357e-04,6.006350895944958558e-04,2.556518809855923345e-04,3.626352288423813374e-04,3.062842926395148435e-02,1.551994121675212774e-03,9.743800714840994068e-04,4.962140451279849294e-04,5.897493871084324209e-04,7.031151820126078401e-03,1.552852759778326807e-03,1.510941465734198623e-03,5.626247375169427661e-04,8.819094797391010404e-04,7.208509730228694450e-03,1.617959415885073318e-03,1.460963506279325122e-03,5.075077018431310618e-04,8.650561364726184772e-04,6.703630469584390822e-03,6.215619772574405193e-04,5.952830155012415114e-04,2.565975981847547780e-04,3.523698044801623370e-04,2.492014375018969732e-03,5.164449795275822186e-04,5.847380636168734991e-04,2.618641762179159090e-04,3.881037435758817426e-04,0.000000000000000000e+00
3.945205553247906061e-03,7.071708983840877373e-04,5.063019565795802120e-04,1.886547482602751247e-04,2.688321046534959831e-04,2.694655815629116644e-02,1.242277234091724051e-03,1.080229602558386692e-03,4.502015632902597137e-04,5.638058610700400451e-04,5.375284042149619003e-03,1.437133698283326070e-03,1.079429333290151359e-03,4.269818688006306101e-04,5.834604330814083554e-04,5.627842901440523876e-03,1.569206830752062918e-03,9.456070979715290028e-04,4.302906451784043016e-04,7.067264651510964286e-04,6.002452004732433330e-03,7.968055607560758360e-04,5.564856571329461574e-04,1.777102471701245956e-04,2.852626437607613265e-04,1.999125941984246715e-03,5.374264531412856986e-04,4.154951767110515995e-04,2.377199778119977718e-04,3.412590580342168161e-04,0.000000000000000000e+00
5.556571559176019456e-03,8.608415438885752297e-04,6.069917154987950619e-04,2.413482990253321722e-04,3.301231411199216127e-04,3.080465969408969010e-02,1.428196862132994618e-03,1.195365319364982042e-03,3.990017809422433917e-04,5.835530603994122526e-04,6.984837745807496306e-03,2.063559828208316130e-03,1.292630526287725113e-03,3.929435602605497405e-04,7.315687189828065998e-04,6.613249594244961262e-03,1.813917286833981440e-03,1.226108071881094885e-03,3.179081909667912011e-04,7.507397310770188518e-04,8.154856619660543621e-03,8.922791974874169901e-04,6.052083107220288189e-04,2.741664512619892600e-04,3.326056455564384154e-04,2.427330779594605564e-03,5.860760042325281098e-04,4.641513607482334724e-04,1.961234473938543643e-04,3.465433485605310705e-04,0.000000000000000000e+00
